"StreetId","departure_days_cat","avg_duration","std_duration","avg_lon","avg_lat"
"1102","7",81.1257367387033,121.801375725042,144.967259715971,-37.8028877392874
"669","1",20.6718446601942,40.3581134169456,144.961725713323,-37.8180427801133
"669","2",19.3175182481752,37.5377628710295,144.962358327955,-37.8178563693484
"669","3",19.4099616858238,46.7054840471141,144.962368856377,-37.8178587855569
"669","4",19.5794205794206,37.5759489043715,144.962479656719,-37.8178247720016
"669","5",15.392523364486,32.6864439412086,144.962185769788,-37.8179096318391
"669","6",18.8745247148289,39.5286144204948,144.962254936817,-37.8178889537956
"669","7",20.6713286713287,48.9476906268309,144.961526779895,-37.8181135288198
"123","1",49.0908045977012,87.8345249214961,144.95418115837,-37.8168316482776
"123","2",37.6349277978339,73.5436531554765,144.953336434317,-37.8170793859261
"123","3",41.9827729924979,87.0161200618515,144.952714596023,-37.8172470195845
