bay_id,st_marker_id,status,location,lat,lon
3046,5149W,Unoccupied,"(-37.80280546182864, 144.95685528863962)",-37.80280546182864,144.95685528863962
5524,11981W,Present,"(-37.81427144972767, 144.98277676593383)",-37.81427144972767,144.98277676593383
8151,15195S,Unoccupied,"(-37.816749289206946, 144.98114263809254)",-37.816749289206946,144.98114263809254
3259,5812E,Unoccupied,"(-37.80699050269098, 144.9534815547595)",-37.80699050269098,144.9534815547595
5903,C9052,Present,"(-37.80291835913376, 144.9674473630265)",-37.80291835913376,144.9674473630265
5545,12023W,Present,"(-37.81308415235573, 144.98298085049117)",-37.81308415235573,144.98298085049117
5534,12001W,Present,"(-37.81365261265179, 144.98288282649173)",-37.81365261265179,144.98288282649173
5435,11822E,Present,"(-37.81358014797943, 144.97781341694056)",-37.81358014797943,144.97781341694056
1735,2342N,Unoccupied,"(-37.81180828318919, 144.9712227761984)",-37.81180828318919,144.9712227761984
5717,12388N,Present,"(-37.810697497599946, 144.97613294712625)",-37.810697497599946,144.97613294712625
1810,2481S,Unoccupied,"(-37.81670841631035, 144.95495040296527)",-37.81670841631035,144.95495040296527
4013,C6064,Unoccupied,"(-37.80583792831153, 144.95214406960355)",-37.80583792831153,144.95214406960355
5842,12571S,Present,"(-37.81606708418995, 144.98155199986667)",-37.81606708418995,144.98155199986667
6647,13622E,Unoccupied,"(-37.81944571124622, 144.94364028336634)",-37.81944571124622,144.94364028336634
5506,11945W,Present,"(-37.81520232267109, 144.982618180015)",-37.81520232267109,144.982618180015
5521,11975W,Unoccupied,"(-37.81442711693971, 144.98275030591668)",-37.81442711693971,144.98275030591668
5723,12400N,Unoccupied,"(-37.81073975776732, 144.97652234965057)",-37.81073975776732,144.97652234965057
4329,C6996,Unoccupied,"(-37.809234010653554, 144.956283910284)",-37.809234010653554,144.956283910284
5826,12539S,Present,"(-37.81594173624363, 144.98041689467863)",-37.81594173624363,144.98041689467863
3192,5417W,Present,"(-37.80828103109838, 144.95469843560392)",-37.80828103109838,144.95469843560392
