bay_id,st_marker_id,status,location,lat,lon
3824,C5504,Present,"(-37.807140701844034, 144.95429735415559)",-37.807140701844034,144.95429735415559
5028,9500N,Unoccupied,"(-37.82844959256275, 144.96680804737142)",-37.82844959256275,144.96680804737142
3024,5117W,Unoccupied,"(-37.8036417823928, 144.95723751206768)",-37.8036417823928,144.95723751206768
3625,7574N,Unoccupied,"(-37.80563672055596, 144.95462461030127)",-37.80563672055596,144.95462461030127
3892,C5692,Present,"(-37.80626986938957, 144.9550797471396)",-37.80626986938957,144.9550797471396
1099,C1106,Present,"(-37.81610926884728, 144.9612082961816)",-37.81610926884728,144.9612082961816
6242,13360E,Unoccupied,"(-37.822102105435185, 144.9478116250051)",-37.822102105435185,144.9478116250051
5049,9826N,Unoccupied,"(-37.82506259705826, 144.97031063892433)",-37.82506259705826,144.97031063892433
5109,9910N,Unoccupied,"(-37.825553384882554, 144.96862208844982)",-37.825553384882554,144.96862208844982
1150,C1238,Unoccupied,"(-37.812202190059296, 144.95941951016198)",-37.812202190059296,144.95941951016198
6221,13320E,Unoccupied,"(-37.81947629205161, 144.94698677753257)",-37.81947629205161,144.94698677753257
3965,C5898,Present,"(-37.80472866680152, 144.95385053369245)",-37.80472866680152,144.95385053369245
4204,C6698,Present,"(-37.8087707248351, 144.95833716308184)",-37.8087707248351,144.95833716308184
1151,C1242,Unoccupied,"(-37.812178467505646, 144.95940869400224)",-37.812178467505646,144.95940869400224
1031,1201W,Unoccupied,"(-37.81273654814882, 144.95953731223602)",-37.81273654814882,144.95953731223602
4436,C7712,Present,"(-37.80359470663074, 144.95447976391296)",-37.80359470663074,144.95447976391296
3841,C5562,Unoccupied,"(-37.806465129427735, 144.95399080398576)",-37.806465129427735,144.95399080398576
6117,C13572,Unoccupied,"(-37.81947538857838, 144.94504612163064)",-37.81947538857838,144.94504612163064
2657,10162E,Present,"(-37.80459147449535, 144.9494476362235)",-37.80459147449535,144.9494476362235
3924,C5764,Present,"(-37.804495548133154, 144.95539354523032)",-37.804495548133154,144.95539354523032
6111,C13540,Unoccupied,"(-37.81931716608157, 144.94559338871863)",-37.81931716608157,144.94559338871863
3968,C5904,Unoccupied,"(-37.80465556333269, 144.9538636192491)",-37.80465556333269,144.9538636192491
8976,7885W,Unoccupied,"(-37.82541128789467, 144.9707907363868)",-37.82541128789467,144.9707907363868
4621,8354E,Present,"(-37.824064015787144, 144.9685908984552)",-37.824064015787144,144.9685908984552
4202,C6690,Present,"(-37.80875387217788, 144.9583956929061)",-37.80875387217788,144.9583956929061
3955,C5878,Unoccupied,"(-37.805073030677484, 144.95378898323872)",-37.805073030677484,144.95378898323872
